"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "HTML", "Gradle", "Java Properties", "JavaScript", "JSON with Comments", "TypeScript JSX", "Batch", "Perl", "CSS", "MS SQL", "Python", "Rust", "XML", "Java", "Shell Script", "Docker", "pip requirements", "comment", "blank", "total"
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\capacitor.settings.gradle", "Gradle", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 23
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 22, 95
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\variables.gradle", "Gradle", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\capacitor.config.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\scripts\ensureAndroidSdk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\README.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 13, 11, 46
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\clawcloud-ai.yaml", "YAML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\clawcloud_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 6, 31, 164
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\download_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 10, 57
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\fine_tune.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 8, 18, 121
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\index.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 41
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\model_runner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 7, 13, 89
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\models\index.d.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 16
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\models\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 63
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\ai\start.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 7, 8, 30
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\config\coupon-codes.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\config\developers.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
